,notification_date,TY,SType
0,1/25/2020,3,All
1,1/27/2020,1,All
2,3/1/2020,2,All
3,3/2/2020,3,All
4,3/3/2020,6,All
5,3/4/2020,6,All
6,3/5/2020,4,All
7,3/6/2020,7,All
8,3/7/2020,2,All
9,3/8/2020,7,All
10,3/9/2020,13,All
11,3/10/2020,6,All
12,3/11/2020,16,All
13,3/12/2020,14,All
14,3/13/2020,19,All
15,3/14/2020,20,All
16,3/15/2020,38,All
17,3/16/2020,29,All
18,3/17/2020,64,All
19,3/18/2020,45,All
20,3/19/2020,56,All
21,3/20/2020,88,All
22,3/21/2020,122,All
23,3/22/2020,121,All
24,3/23/2020,177,All
25,3/24/2020,192,All
26,3/25/2020,206,All
27,3/26/2020,185,All
28,3/27/2020,213,All
29,3/28/2020,143,All
30,3/29/2020,124,All
31,3/30/2020,90,All
32,3/31/2020,131,All
33,4/1/2020,124,All
34,4/2/2020,92,All
35,4/3/2020,106,All
36,4/4/2020,73,All
37,4/5/2020,63,All
38,4/6/2020,40,All
39,4/7/2020,44,All
40,4/8/2020,44,All
41,4/9/2020,41,All
42,4/10/2020,30,All
43,4/11/2020,18,All
44,4/12/2020,9,All
45,4/13/2020,7,All
46,4/14/2020,21,All
47,4/15/2020,22,All
48,4/16/2020,22,All
49,4/17/2020,15,All
50,4/18/2020,17,All
51,4/19/2020,7,All
52,4/20/2020,2,All
53,4/21/2020,6,All
54,4/22/2020,3,All
55,4/23/2020,8,All
56,4/24/2020,14,All
57,4/25/2020,3,All
58,4/26/2020,1,All
59,4/27/2020,5,All
60,4/28/2020,10,All
61,4/29/2020,3,All
62,4/30/2020,15,All
63,5/1/2020,2,All
64,5/2/2020,2,All
65,5/3/2020,1,All
66,5/4/2020,4,All
67,5/5/2020,5,All
68,5/6/2020,3,All
69,5/7/2020,2,All
70,5/8/2020,4,All
71,5/9/2020,1,All
72,5/10/2020,1,All
73,5/12/2020,5,All
74,5/13/2020,4,All
75,5/14/2020,3,All
76,5/15/2020,2,All
77,5/17/2020,1,All
78,5/18/2020,2,All
79,5/19/2020,4,All
80,5/20/2020,1,All
81,5/21/2020,3,All
82,5/23/2020,1,All
83,5/24/2020,1,All
84,5/25/2020,2,All
85,5/27/2020,1,All
86,5/28/2020,2,All
87,5/29/2020,1,All
88,5/30/2020,2,All
89,5/31/2020,5,All
90,6/1/2020,4,All
91,6/2/2020,1,All
92,6/3/2020,2,All
93,6/4/2020,3,All
94,6/6/2020,1,All
95,6/7/2020,3,All
96,6/8/2020,1,All
97,6/9/2020,3,All
98,6/11/2020,3,All
99,6/12/2020,3,All
100,6/13/2020,9,All
101,6/14/2020,6,All
102,6/17/2020,2,All
103,6/18/2020,7,All
104,6/19/2020,1,All
105,6/20/2020,6,All
106,6/21/2020,1,All
107,6/22/2020,1,All
108,6/23/2020,10,All
109,6/24/2020,4,All
110,6/25/2020,6,All
111,6/26/2020,5,All
112,6/27/2020,10,All
113,6/28/2020,3,All
114,6/29/2020,6,All
115,6/30/2020,11,All
116,7/1/2020,6,All
117,7/2/2020,5,All
118,7/3/2020,8,All
119,7/4/2020,12,All
120,7/5/2020,8,All
121,7/6/2020,13,All
122,7/7/2020,6,All
123,7/8/2020,13,All
124,7/9/2020,9,All
125,7/10/2020,8,All
126,7/11/2020,2,All
127,7/12/2020,15,All
128,7/13/2020,17,All
129,7/14/2020,10,All
130,7/15/2020,9,All
131,7/16/2020,9,All
132,7/17/2020,13,All
133,7/18/2020,17,All
134,7/19/2020,20,All
135,7/20/2020,14,All
136,7/21/2020,14,All
137,7/22/2020,16,All
138,7/23/2020,7,All
139,7/24/2020,18,All
140,7/25/2020,18,All
141,7/26/2020,9,All
142,7/27/2020,15,All
143,7/28/2020,22,All
144,7/29/2020,15,All
145,7/30/2020,22,All
146,7/31/2020,15,All
147,8/1/2020,14,All
148,8/2/2020,11,All
149,8/3/2020,13,All
150,8/4/2020,9,All
151,8/5/2020,13,All
152,8/6/2020,11,All
153,8/7/2020,8,All
154,8/8/2020,14,All
155,8/9/2020,13,All
156,8/10/2020,22,All
157,8/11/2020,15,All
158,8/12/2020,10,All
159,8/13/2020,14,All
160,8/14/2020,7,All
161,8/15/2020,6,All
162,8/16/2020,5,All
163,8/17/2020,3,All
164,8/18/2020,8,All
165,8/19/2020,2,All
166,8/20/2020,5,All
167,8/21/2020,7,All
168,8/22/2020,2,All
169,8/23/2020,3,All
170,8/24/2020,4,All
171,8/25/2020,6,All
172,8/26/2020,12,All
173,8/27/2020,15,All
174,8/28/2020,10,All
175,8/29/2020,7,All
176,8/30/2020,11,All
177,8/31/2020,12,All
178,9/1/2020,15,All
179,9/2/2020,10,All
180,9/3/2020,7,All
181,9/4/2020,7,All
182,9/5/2020,8,All
183,9/6/2020,4,All
184,9/7/2020,11,All
185,9/8/2020,5,All
186,9/9/2020,10,All
187,9/10/2020,8,All
188,9/11/2020,8,All
189,9/12/2020,6,All
190,9/13/2020,7,All
191,9/14/2020,7,All
192,9/15/2020,5,All
193,9/16/2020,7,All
194,9/17/2020,3,All
195,9/18/2020,4,All
196,9/19/2020,1,All
197,9/20/2020,5,All
198,9/21/2020,1,All
199,9/22/2020,6,All
200,9/23/2020,3,All
201,9/24/2020,2,All
202,9/25/2020,1,All
203,9/28/2020,5,All
204,9/29/2020,2,All
205,9/30/2020,4,All
206,10/1/2020,3,All
207,10/3/2020,3,All
208,10/4/2020,2,All
209,10/5/2020,9,All
210,10/6/2020,3,All
211,10/7/2020,15,All
212,10/8/2020,6,All
213,10/9/2020,4,All
214,10/10/2020,7,All
215,10/11/2020,5,All
216,10/12/2020,15,All
217,10/13/2020,12,All
218,10/14/2020,10,All
219,10/15/2020,3,All
220,10/16/2020,7,All
221,10/17/2020,6,All
222,10/18/2020,6,All
223,10/19/2020,10,All
224,10/20/2020,4,All
225,10/21/2020,9,All
226,10/22/2020,3,All
227,10/23/2020,6,All
228,10/24/2020,7,All
229,10/25/2020,3,All
230,10/26/2020,15,All
231,10/27/2020,5,All
232,10/28/2020,4,All
233,10/29/2020,7,All
234,10/30/2020,4,All
235,10/31/2020,5,All
236,11/1/2020,5,All
237,11/2/2020,4,All
238,11/3/2020,7,All
239,11/4/2020,3,All
240,11/5/2020,10,All
241,11/6/2020,5,All
242,11/7/2020,4,All
243,11/8/2020,7,All
244,11/9/2020,5,All
245,11/10/2020,2,All
246,11/11/2020,5,All
247,11/12/2020,2,All
248,11/13/2020,6,All
249,11/14/2020,8,All
250,11/15/2020,2,All
